word,category,sentence
トントン,sound,トントン の 音 が 10 回 （ 小池 時代 末期 は 6 回 ） 鳴っ た 後 に 不 正解 の ブザー が 鳴る 。
コツコツ,sound,死者 と の 交信 が コツコツ ・ トントン という モールス 信号 の よう な 音 で 行わ れ た こと が そうした 事情 を 物語っ て いる と いう 。
ヒュー,sound,{ quotation | 黄 緑 で 扇形 の それ 〔 ＝ オーロラ 〕 が 上空 で 天頂 から 下向き に 波打ち 、 それ と 同時に 我々 2 人 とも が 非常 に 興味深い かすか な ヒュー という 音 に 気づい た 。
ゴロゴロ,sound,繁殖 期 の 間 、 とどろく よう な 鳴き声 や シュー という 鳴き声 、 もしくは ゴロゴロ と いう よう な 鳴き声 を 発する 。
バサバサ,sound,普段 は 山奥 の 竹薮 に 棲ん で おり 、 人前 に 姿 を 現さ す こと は 滅多に ない が 、 深夜 に は 時おり 人 の 住む 村 に 現れ 、 羽 を はばたか せ て バサバサ と 不気味 な 音 を たてる 。
ゴリゴリ,sound,雑音 に は 、 ゴリゴリ という 低い 音 の crepitus と 、 カク ン という 弾 撥音 で ある clicking と が ある 。
ボコボコ,sound,足跡 は 上下 に 逆さ ハート が ある 形状 で あり 、 歩く と ボコボコ と 可愛い 足音 が 鳴る 。
ガリガリ,sound,シマノ で は 「 無理 に 走ら せる と 、 ガリガリ と すごい 音 が する ので 泥棒 も 持っ て 行け ない 。 」 という よう な コピー で 宣伝 を し て い た が 、 あくまで 手元 で 簡単 に 簡易 的 な 施錠 が できる という もの で あり 、 ある 方法 で 容易 に 無効 化 さ せる こと も 可能 で ある ため 、 後 輪 錠 や チェーン の 併用 は 欠か せ ない 。
ガチガチ,sound,侵入 者 に対して は 非常 に 防御 的 で 、 尾 を 叩きつけ たり 、 歯 を ガチガチ 鳴らし たり 、 匂い で 縄張り に 印 を つける など の 威嚇 行動 で 彼ら を 警告 し て 遠ざける 。
うろうろ,movement,テロリスト の 怖い の が 平気 で 日本 を うろうろ し て いる 。
キョロキョロ,movement,常 同 行為 が 見 られ 、 不自然 な 筋肉 の 緊張 、 キョロキョロ と 落ち着き の 無い 動作 を 示す こと が 多い 。
きびきび,movement,動き が 俊敏 で 、 元 ヤクルト の 古田 敦 也 の 様 な きびきび と し た 動作 で 、 チーム を 引っ張っ た 。
グイグイ,movement,当時 は 速球 で グイグイ 押す 強気 な 投球 が 身上 で 、 西本 幸雄 監督 が 「 投手 で 一番 大切 な の は コントロール や 」 と 言っ て も 「 いえ 、 ストレート に 力 が あれ ば ど 真ん中 でも 打た れ ませ ん 」 と 反発 し た 。
ぐるぐる,movement,両脚 で 細かい ステップ を 踏み ながら 両手 を ぐるぐる 回し 、 最後 に 左手 で 股間 を 抑え 右手 で 前方 または 天 を 指さす の が スタンダード 。
くるくる,movement,この 癖 を 矯正 する こと で レース で 我慢 する こと を 覚え させ られる の で は ない か と 、 馬 房 に 畳 を 吊す こと が 試み られ た が 、 体 の 柔らかい サイレンススズカ は 狭い スペース で も 以前 と 同様 に くるくる と 回り 続け た 。
コロコロ,movement,その後 、 場内 を 1 周 し て いる 途中 に 香川 真司 に 8 番 の ユニフォーム を 渡し 、 グラウンド で 現役 生活 最後 の ゴール を 狙い に いく が 、 シュート が 外れ たり 、 クロスバー に 嫌わ れ たり する など 、 4 本 シュート を 打っ て 結局 入っ た ゴール は 、 コロコロ と 転がる ボール を ゴール し た だけ だっ た 。
ジタバタ,movement,実力 の ない 者 が 、 無闇 に くやし がっ たり ジタバタ と する こと の たとえ で ある 。
ずんずん,movement,今度 は あの 方 も 遠慮 せ ず に 、 ずんずん と 上がっ て き て 、 そこ い ら に 散らばっ て い た 物 を 自分 で 取り集め られ 出し 、 それ を 車 の 中 へ みんな 入れ させ た 。
ぞろぞろ,movement,サムイル は 逃れ た ものの 、 バシレイオス 2 世 が 送っ て き た 両目 を 潰さ れ た 1 万 4 千 人 も の ブルガリア 人 捕虜 が ぞろぞろ やってくる の を 見 て 卒倒 し 、 2 日 後 の 1014 年 10 月 6 日 に 死亡 し た 。
ちょこちょこ,movement,第 1 主題 は 弦楽 による 、 ちょこちょこ し た ピアノ 的 な 動き が 特徴 。
つかつか,movement,宇宙船 から 一 人 の 宇宙 人 が 降り 、 アーサー の 方 へ と つかつか と 歩い て 来 て 言っ た 。
とことこ,movement,オス は 歩き回り ながら 良く 鳴き 、 時には 地面 を とことこ 歩き ながら 鳴い て いる 。
とぼとぼ,movement,二 人 は とぼとぼ その 場 から 去っ て いっ た 。
ニョロニョロ,movement,現代 で は 一般 的 に ヘビ の 容姿 は 見 た 限り 四肢 が なく 、 ニョロニョロ と 動い たり トグロ を 巻い て いる 様子 が 「 気持ち 悪い 」 という 印象 を 与え やすく 、 嫌悪 の 対象 に なる こと が 多い 。
のそのそ,movement,四肢 が 比較的 短く 、 肥大 し た 体 を のそのそ と 運ぶ 。
のこのこ,movement,この あと 、 稲垣 や 山中 貞雄 の 真面目 な 作品 に まで 、 「 わし ゃ マスコット じゃ から 出し て もらい ます よ 」 と 言っ て のこのこ 勝手 に 出る よう に なっ た 。
ノッシノッシ,movement,普段 は ノッシノッシ と ゆっくり 歩く 。
のろのろ,movement,すると 地面 の 模様 の 中心 に 向かっ て のろのろ と 歩き 出し た 。
ひょこひょこ,movement,いつも ユーモラス に ひょこひょこ と 歩く 。
ピョコピョコ,movement,風速 が 数 メートル 程度 に なる と 、 波頭 （ なみ が しら 、 波 の 頂上 部分 ） の 水 が 風 に 飛ばさ れ 、 視野 を 広く 見る と 海面 全体 に 白い 部分 が チラチラ 、 ピョコピョコ と 動い て いる よう に 見え 始める 。
ぴょんぴょん,movement,hop - searching '（ ぴょんぴょん と 跳び 回り ながら 探 餌 する 方法 の 意 ） と 定義 さ れる 彼ら の 採 餌 方法 は 、 地上 や 2 m 以下 の 灌木 の 中 で 行わ れる 。
ふらふら,movement,命名 の 由来 は 南海 の ハワイキャンプ 時 に 、 O 脚 の 鳩 が ふらふら 歩い て いる の を 見 て 、 選手 の 誰か が 「 大沢 に そっくり や 」 と 言っ た 事 に よる 。
ぶらぶら,movement,「 先日 、 友人 と 同道 し て 郊外 を 散策 し た 」 という よう な 漢語 の 多い 文章 と 、 「 この間 、 友だち と 連れ だって 町はずれ を ぶらぶら 歩い た 」 という よう な 和語 の 多い 文章 と を 、 適宜 混ぜ合わ せ 、 あるいは 使い分け ながら 文章 を 綴っ て いる 。
スタスタ,movement,右中間 や 左中間 に 打ち返し て 『 よし 、 長打 だ !』 と 走り出す と 、 中 が 何事 も なく 捕 球 し て スタスタ 帰っ て くる 。
よちよち,movement,地上 で は 他 の ペンギン の よう に よちよち と 歩か ず 、 （ スズメ の よう に ） 両足 を 揃え て 飛び跳ね ながら 移動 する 。
ゆらゆら,movement,多く は 水底 周辺 を ゆらゆら と 泳ぎ 、 それほど 活発 で は ない 。
うろちょろ,movement,解り やすく 言う と 「 依頼 者 の 目 の 前 を うろちょろ し ない 」 です 。
バタバタ,movement,足 を バタバタ 、 バタバタ やっ て 、 実に うまかっ た ん だ 、 これ が 。
パタパタ,movement,泳ぐ 際 は 長い 体 を くねら せ ながら 、 胸 びれ を パタパタ と はばたか せ て ゆっくり と 泳ぐ 。
ひらひら,movement,逆 に 稚魚 期 に は ひらひら と 揺れる 外 鰓 が 他 の 個体 の 興味 を 惹く ため に かじら れる こと が ある 。
ずるずる,movement,ただし 、 ごく まれ に 、 常時 ずるずる と 滑り つづけ （ 「 安定 すべり 」 という ） 、 大きな 地震 を 起こさ ない 活 断層 も ある 。
ピクピク,movement,マツ の 場合 も 「 お とこ おんな の マツコ !」 と 呼ば れる と 鼻 が ピクピク 動き 戦闘 能力 が 上がる 。
ヒクヒク,movement,反面 、 リング 上 で 倒れ 、 手足 を ヒクヒク さ せる など する と 笑い が 飛ぶ 。
ぐらぐら,movement,砥石 は ぐらぐら し ない よう しっかり 固定 し 、 角度 を 一定 に し て 砥 ぐ
ノタノタ,movement,本来 両機 は 作中 で は かなり 俊敏 な 動き を する 機体 だ が 、 その 一方 で エプロン から 滑走 路 に 移動 中 や 飛行 中 に ノタノタ し た 感じ で の 描か れ 方 を さ れる こと が 多かっ た 機体 で も ある 。
クネクネ,movement,藤井 と は 対照 的 に ライブ で は 所 せまし と 動き回り 、 扇子 を 持っ て は クネクネ し た ダンス を 踊り 、 ライブ で は キーボード と ダンサー を 兼ねる 。
すいすい,movement,かくして 小 魚 たち は マグロ を 追い払い 、 岩 陰 に 隠れる こと なく 海 を すいすい 泳げる よう に なっ た の で あっ た 。
ビュンビュン,movement,ビュンビュン 飛ばし て い た ところ 、 交差点 の 直前 で 信号 が 赤 だっ た こと に 気がつき 、 恐怖 を ともなっ た 驚き を 感じる 。
チョロチョロ,movement,名前 の 由来 は チョロチョロ 走る キュート （ 綴り は cute だ が 、 語調 ([ kju : t ]) から Q に 引っ掛け ） な 車 から 来 て いる 。
ダラダラ,movement,その 際 もう 一方 が 不平 不満 や コーナー の 穴 を ダラダラ 述べる 。
うようよ,movement,島 に は 巨鳥 ロク が い て 、 その 足 に 自分 自身 を 結びつけ て 脱出 する が 、 つい た 先 は ダイアモンド 鉱石 で 構成 さ れ た 峻険 な 山 に 囲ま れ た 谷間 で 、 大蛇 が うようよ し て いる 。
ドタドタ,movement,例外 として 、 息子 で ある 田村 高 廣 が 、 旧制 京都 府立 第 三 中学 に 合格 し た 事 を 告げ に 担任 の 小学 教師 が 訪問 し た 際 、 二 階 から 浴衣 姿 の まま で ドタドタ と 階段 を 降り 、 玄関 先 に いる 教師 の 足下 で 「 せ 、 先生 ！ あ 、 ありがとう ござい まし た ！ 」 と 土下座 し て お礼 を 言っ た そう で ある 。
ふらり,movement,「 特殊 ビデオ 」 の 文字 に スケベ 心 を 刺激 さ れ た 山川 宗 洋 は ふらり と 立ち寄り 好み の 女の子 の ビデオ を 借り て いく 。
よろよろ,movement,流れ て 歩け 」 オールド マン は 肩 を 落とし て よろよろ と 歩き 馬 に 乗る 。
ぐんぐん,movement,また 重力 の コントロール により 、 上り 坂 で も ぐんぐん 登る こと が できる 。
そろそろ,movement,まず これ を 頭 に かぶり 、 「 ダルマ さん が 転ん だ 」 の 要領 で 、 誰 か の 背後 に そろそろ と 忍び 寄れる 道具 。
ちょこまか,movement,なお 、 古い 映画 において コマ 落とし に 似 た よう な ちょこまか と し た 動き に なる こと が ある が 、 映写 速度 ( 再生 速度 ) が 誤っ て いる ため で あり 、 本来 の コマ 数 で 映写 すれ ば 違和感 の ない 映写 が 可能 と なる 。
ニョキニョキ,movement,「 は くさい ・ しいたけ ・ に 〜 ん じん ♪」 の CM とともに 、 野菜 が ニョキニョキ 生え て き て 踊る 特殊 撮影 で お 馴染み の CM は 「 塩 ら ー めん 」 発売 当初 から 長期 にわたって 放映 さ れ た 。
するする,movement,蛇 使い を 思わ せる かご に 長い 紐 が 入っ て おり 、 笛 を 吹く と 紐 が するする と 伸びる 。 35
ひらり,movement,無論 この よう な こと に なっ た の は 、 部分 的 に で あれ 全体 的 に で あれ 、 「 ジダーノフ 批判 」 の よう な 攻撃 を ひらり と かわす 必要 が あっ た から で あろ う 。
じろじろ,movement,彼 の よく 知ら れ た 寸言 に ｢ 街 を 歩い て い て 、 人 から あまり じろじろ と 見 られ て いる とき は 、 君 の 服装 は 凝り すぎ て いる の だ ｣ という の が ある 。
ギョロギョロ,movement,作曲 を 担当 し た 伊福部 昭 は 、 「 魔神 と いっ て も 神様 です から 、 神々しい イメージ で い た ところ 、 映像 を 見 たら 、 青黒い 顔 に 血走っ た 目玉 が ギョロギョロ 動い て 睨みつける という もの だっ た ので 、 さあ これ は えらい こと に なっ た と 、 驚き ながら 作曲 し まし た 」 と 語っ て いる 。
ピタリ,movement,当日 は 午前 中 から あいにく の 雨 模様 だっ た が 、 ライブ 開始 直前 に 雨 は ピタリ と 止ん だ 。
パタン,movement,よく 折れ ば 覗か なく なる けれども 、 開い て 手 を 離せ ば パタン と 閉じ て 、 使い 易く は ない 。
カサカサ,texture,この 日 は 土俵 の 土 が 非常 に 乾い て おり 、 表面 が カサカサ に なっ て ヒビ 割れ た ところ に 谷地 が 落ち た ため 崩れ た らしい 。
ガサガサ,texture,黒く 表面 が ガサガサ の 腫 瘤 （ 出来物 ） 。
かちかち,texture,当時 の ゴム 製品 は 温度 に 影響 さ れ やすく 、 冬 は 低温 で かちかち に 固まり 、 夏 は 熱 で べたべた に 溶け て しまう 性質 が あっ た 。
コチコチ,texture,今 と ちがっ て 、 天子 さま の 第 二 皇子 と いえ ば 、 それ こそ 雲の上 の 人 、 町長 も 署長 で も 緊張 し て コチコチ に 固く なっ て い た もの だ 。
コチンコチン,texture,やがて 一時 審査 で ある 書類 選考 に 通り 、 二 次 審査 で ある 面接 は 築地 の 松竹 本社 にて 行わ れ た 、 栄治 は 紺 の スーツ に 赤い ネクタイ 姿 で 臨む が 緊張 の あまり すっかり コチンコチン に なっ て しまい 、 審査 員 に対して ぎこち なく ぶっ きら 棒 な 受け答え を し て しまう 、 だが 、 それ が かえって 学生 っぽく 素朴 な 印象 を 与え 、 実に 応募 総数 6 千 人 （ 厳密 に は 6300 人 ） の 中 から 選ば れる こと と なっ た 。
ごつごつ,texture,遠近 法 を 駆使 し た 厳格 な 画面 構成 、 ごつごつ し た 硬質 な 線描 、 彫刻 的 な 人体 把握 など 、 イタリア ・ ルネサンス の 画家 たち の なか でも 異色 の 作風 を 示す 。
ごわごわ,texture,葉 身 は 楕円 形 で 艶 が 強く 、 さほど 厚く は ない が 、 革質 で ごわごわ し て おり 、 何となく 波打っ て いる こと が 多い 。
ギトギト,texture,これ を 期 に 、 ボーカル 陣 と の 衣装 の 格差 に 疑問 を 感じ た 楽器 演奏 陣 が （ 遊び で ） 「 ゴキブリ → アブラ で ギトギト し て いる 」 と の 理由 で 『 サニー 徳永 と ジ・アブラーズ 』 と 名乗っ た 。
グショグショ,texture,途中 で 足 の 爪 が はがれ 、 シューズ の 中 が 血 で グショグショ に なる ほど 悲惨 な 有様 だっ た が 、 幸 か 不幸 か 爪 の 痛み の お陰 で 覚醒 し 、 気絶 する こと なく 計 120 km を 15 時間 かけ て 走り抜き 、 14 kg の 減量 に 成功 。
ぐちゃぐちゃ,texture,しかし 大雨 で ぐちゃぐちゃ に なっ た ピムリコ 競馬 場 の 馬場 は リヴァリッジ に 味方 せ ず 、 別 路線 から 来 た 単勝 20 倍 の 伏兵 ビービービー に ゴール は 掻 っ 攫わ れ た 。
ぐにゃぐにゃ,texture,柔 法 徹 化 拳 の 技 は 「 型 」 に とらわれ ず 、 ぐにゃぐにゃ の 身体 と 感性 を 基本 と し た 指 １ 本 １ 本 から 全身 に 至る まで を 使用 する 身体 用法 が 特徴 で ある 。
サクサク,texture,果肉 は 雪白 色 に 近く 、 サクサク と し た 心地よい 歯 触り で 果汁 も 多い 。
ザクザク,texture,バニラ アイス の 全面 を 厚め の チョコレート と パフ で コーディング し て おり 、 どこ から 食べ て も ザクザク し た 食 感 が 楽しめる の が 特徴 。
さらさら,texture,さらさら と し た 白い 砂 が 特徴 的 な 白 良 浜 （ しら ら はま ） 海水浴 場 は 、 夏 に なる と 近畿 一 円 から の 海水浴 客 が 訪れる こと で も 知ら れ て いる 。
しっとり,texture,この ため 表面 に 水分 が 保持 さ れ 、 しっとり と し た 感触 を もつ 。
シャリシャリ,texture,果皮 も 熟し た もの は とても 甘く 、 シャリシャリ し て 砂糖 粒 の よう な 食 感 が ある 。
ジャリジャリ,texture,食 感 も ジャリジャリ と し た 感じ に なる 。
しんなり,texture,麺 は 縮れ た 蒸し 麺 で は なく 茹で た ストレート の 角 麺 を 使い 、 柔らかく しんなり と し た 出来上がり に なる 。
すべすべ,texture,柔らかく ヌルヌル すべすべ と し た 肌触り 。
つるつる,texture,美肌 に 効果 が ある 重曹 泉 で 、 入浴 し た 後 に つるつる 感 が ある 。
トロトロ,texture,トロトロ と し た 濃厚 な カレー ルー が 特徴 。
ニチャニチャ,texture,団子 を 噛む と 生煮え の 生地 が 歯 に ニチャニチャ と こびり付き 、 原料 粉 の 品質 の 悪 さ も 手伝っ て 非常 に 不味かっ た そう で ある 。
ぬめぬめ,texture,全身 が ぬめぬめ と し た 粘液 で 覆わ れ て おり 、 これ は 外敵 の 攻撃 を 滑ら せ て 受け流す 効果 が ある 。
ぬるぬる,texture,鱗 が なく 、 体 表 は ぬるぬる と し た 粘液 で 覆わ れ て いる 。
ねばねば,texture,孵化 シーン で 漂う 煙 に は 煙草 が 使わ れ 、 幼体 バルゴン を 覆う ねばねば し た 粘液 は 、 アメリカ 製 の 特注 素材 を 使っ て いる 。
パサパサ,texture,すなわち アミロース 含量 が 少ない お 米 は 加熱 時 に やわらかく モチ モチ し た 食 感 に なり 、 アミロース 含量 が 多い と パサパサ し た 食 感 に なる 。
ふかふか,texture,この 白い 部分 は ふかふか と し た 食 感 で あり 、 苦み や 渋み は ない 。
ふにゃふにゃ,texture,一般 制帽 と 似 て いる が 、 帽子 の 中 に 形状 を 保つ ため の ワイヤー が 入っ て い ない ため 、 ふにゃふにゃ し て いる 。
ベタベタ,texture,一級 酒 や 特級 酒 は 「 飲む の に は いい が 、 マッサージ の 時 に 患部 に 塗る と ベタベタ する から 」 という の が 理由 で ある 。
べとべと,texture,髪 は べとべと で 、 口 は 大きく 、 疲れはて た 四 十 代 に も 異常 に 元気 な 六 十 代 に も 見え て 年 齡 不詳 だっ た 。
ぶよぶよ,texture,ぶよぶよ し た 血 の 塊 の よう な もの で ある か 、 もしくは 生前 の まま で ある と さ れる こと が 多い 。
ざらざら,texture,厚め で ざらざら し た もの や 薄く て すべすべ し た もの など 、 鉛筆 画 や 水彩 画 といった 画風 に 応じ て 様々 な もの が 用い られる 。
つぶつぶ,texture,基本 味 以外 の 、 辛味 物質 、 アルコール 、 炭酸 飲料 など の 化学 的 刺激 や 、 温度 （ 熱 さ ・ 暖か さ ・ 冷た さ ） 、 舌触り （ つぶつぶ 感 、 柔らか さ 、 硬 さ 、 滑らか さ ） など の 物理 的 刺激 は 、 化学 的 受容 体 を 介する こと なく 直接 神経 を 刺激 し て 大脳皮質 味覚 野 に 伝達 さ れ 、 基本 味 と 合わせ て 総合 的 な 味覚 を 形成 する 。
ドロドロ,texture,その 内部 で は 一部 の 神経 、 呼吸 器 系 以外 の 組織 は ドロドロ に 溶解 し て いる 。
ぬらぬら,texture,一般 に は 、 タコ に 似 た 頭部 、 イカ の よう な 触 腕 を 無数 に 生やし た 顔 、 巨大 な 鉤爪 の ある 手足 、 ぬらぬら し た 鱗 に 覆わ れ た 山 の よう に 大きな ゴム 状 の 身体 、 背 に は コウモリ の よう な 細い 翼 を 持っ た 姿 を し て いる と さ れる 。
ふわふわ,texture,上手 に 焼く と 、 中 が ふわふわ で 表面 が カリカリ に なる 。
コリコリ,texture,これ が 風味 と いい コリコリ と し た 食 感 と いい 絶品 だ という 説 が 流布 し て いる 。
カリカリ,texture,そのまま の 状態 で は カリカリ という 食 感 が 楽しめ 、 また すり おろす と 芋 と 同様 の 強い 粘り が ある
ボロボロ,texture,ただし 、 この 新 素材 は 従来 品 より 劣化 が 激しく 、 数 年 で クッキー 菓子 の 様 に ボロボロ に 割れる という 現象 が 確認 さ れ て いる （ 2007 年 以降 発売 さ れ た ヘッツァー 駆逐 戦車 や JS - 2 重 戦車 など で は ベルト 式 と 部分 連結 式 の 双方 が 同 梱 さ れ て いる ） 。
プルプル,texture,黒っぽい 麺 と プルプル し た 食 感 、 サツマイモ 由来 の ほのか な 甘 さ が 特色 で 、 この 黒っぽい 色 は サツマイモ に 含ま れる 色素 による もの だ と いう 。
チクチク,texture,見た目 は 柔らか そう で ある が 実際 に は 硬い 藻 で あり 、 手 で 触れる と チクチク と し た 感触 が ある 。
むずむず,texture,この むずむず と し た 不快 感 や 痛み など の 不快 な 異常 感覚 ・ 身体 症状 が 下肢 や 腰 ・ 背中 ・ 腕 など に 出現 する ため 、 患者 は これ を 抑える ため 常に 脚 を 動かし たり 身体 を さすら なけれ ば なら ない 状況 に 追い立て られる 。
ヒリヒリ,texture,和名 の 由来 は 、 葉 の 縁 の 刺 に 触る と ヒリヒリ 痛む （ 古語 ： 疼 （ ひひ ら ） く ・ 疼 （ ひい ら ） ぐ ） こと から 。
ふわっと,texture,店名 で ある 和 ふ 庵 の 由来 は ふわっと し た 食 感 の 饅頭 を 和み ながら 食べ て 欲しい という 願い から 名づけ られ た 。
ホクホク,texture,デンプン が 多く ホクホク し た 食 感 が 得 られる が 、 煮 くずれ し やすい 。
キラキラ,visual,花 柄 、 キラキラ し た 光 を 表し た もの など 非常 に 多く の 種類 が あり 、 また 日々 新しい 柄 トーン が 各社 から 開発 さ れ て いる 。
ギラギラ,visual,目撃 者 の 多く は 、 モス マン を 一瞬 しか 見 て おら ず 、 モス マン の 顔 は あまり 詳細 まで 覚え て は い ない が 、 目 が ギラギラ と 赤く 輝き 、 目と 目 の 間隔 が 大きく 開い て いる こと だけ は 、 多く の 目撃 者 の 証言 が 一致 し て いる 。
ピカピカ,visual,渓谷 から 見上げる と ルートヴィヒ 館 の 修復 さ れ た 窓 が ピカピカ と 輝い て 見える 。
ぴかり,visual,この 踊り は 変り目 ごと に 懐 から 懐中 電灯 を 取り出し ピカリ と つける と ぼけ た 趣向 で 客 は 失笑 し 脚光 を 浴び た 。
